system:index,B1,B2,B3,B4,B5,B6,B7,ampNdvi,baseMsavi,baseNdvi,class,latitude,longitude,maxMndwi,maxMsavi,maxNdvi,poly_id,slope,year_id,.geo
00000000000000000000_7,0.0411777777777777,0.0568,0.0822388888888889,0.10365,0.2439133333333333,0.2126866666666667,0.14862,0.62998176,-5.378988325310807e-06,-0.014782756,natural,-16.31910986166467,-69.09746842342527,0.6438724,4.301928326788662e-05,0.615199,00000000000000000000,13.486164,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.09746842342527,-16.31910986166467]}"
00000000000000000019_363,0.0863,0.111,0.1646,0.2087,0.3146,0.3536,0.2776,0.3164505,9.398561643392256e-07,0.00306169,rocky,-17.5218641955723,-70.18110615065865,0.22658563,3.143894739088271e-05,0.3195122,00000000000000000019,53.947575,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.18110615065865,-17.5218641955723]}"
00000000000000000033_204,0.0281,0.0419,0.0754,0.096,0.166,0.2009,0.1512,0.57184726,-2.7794620087728816e-06,-0.007233179,rocky,-16.88962989860898,-68.34423105769106,0.51230663,2.4939690241365664e-05,0.56461406,00000000000000000033,13.93179,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.34423105769106,-16.88962989860898]}"
00000000000000000013_14,0.0263,0.03545,0.06705,0.07375,0.3439,0.18075,0.09945,0.87201244,-5.17891057005837e-06,-0.018975783,natural,-16.823064736055724,-69.38771409172429,0.6250943,8.799925194052927e-05,0.85303664,00000000000000000013,0.968867,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.38771409172429,-16.823064736055724]}"
0000000000000000000a_24,0.031,0.0393,0.0709,0.0824,0.3308,0.1547,0.0855,0.7679154,-1.1198520005750725e-06,-0.004255319,natural,-17.028419610005447,-70.19215542865332,0.43853965,6.791887654550299e-05,0.76366013,0000000000000000000a,0.0,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.19215542865332,-17.028419610005447]}"
00000000000000000042_48,0.0366,0.0484,0.0826,0.1081,0.1866,0.2061,0.1706,0.42223686,-3.179524090346497e-06,-0.010736714,rocky,-16.55222267789369,-69.19421697952495,0.69433963,3.0718313512756446e-05,0.41150016,00000000000000000042,19.59355,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.19421697952495,-16.55222267789369]}"
00000000000000000022_9,0.0314,0.0399,0.0684,0.07605,0.29595,0.2151,0.12385,0.75913453,-3.799295689277393e-06,-0.010355352,natural,-16.822256252300015,-69.83238015736346,0.30615124,5.673931568500601e-05,0.7487792,00000000000000000022,4.288824,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.83238015736346,-16.822256252300015]}"
00000000000000000025_159,0.07405,0.08732,0.1227666666666666,0.1551,0.2006666666666666,0.2258,0.19658,0.23087382,-4.439381596887948e-06,-0.016194923,rocky,-16.93625246185478,-69.92481680009935,0.58190006,1.163969247575114e-05,0.2146789,00000000000000000025,3.828849,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.92481680009935,-16.93625246185478]}"
00000000000000000034_174,0.03505,0.04665,0.08075,0.10015,0.15875,0.22075,0.18325,0.3743991,-2.179640403721095e-06,-0.006650802,rocky,-16.839773400340345,-68.36363466782804,0.52737904,2.531930673987937e-05,0.3677483,00000000000000000034,17.995823,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.36363466782804,-16.839773400340345]}"
00000000000000000055_33,0.0505590909090909,0.0658863636363636,0.0999214285714285,0.15115,0.2720357142857142,0.25066,0.22135,0.43890208,-1.0038309967042023e-05,-0.03073344,rocky,-16.597228273628076,-68.97269243046107,0.5303696,3.865866545127439e-05,0.40816864,00000000000000000055,28.21641,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.97269243046107,-16.597228273628076]}"
